kbd-legacy	kbd-legacy-2.4.0-11.el9.noarch
kbd-misc	kbd-misc-2.4.0-11.el9.noarch
kernel-core	kernel-core-5.14.0-570.109.1.el9_6.x86_64
kernel	kernel-5.14.0-570.109.1.el9_6.x86_64
kernel-modules-core	kernel-modules-core-5.14.0-570.109.1.el9_6.x86_64
kernel-modules-extra	kernel-modules-extra-5.14.0-570.109.1.el9_6.x86_64
kernel-modules	kernel-modules-5.14.0-570.109.1.el9_6.x86_64
kexec-tools	kexec-tools-2.0.29-5.el9_6.2.x86_64
keyutils	keyutils-1.6.3-1.el9.x86_64
keyutils-libs	keyutils-libs-1.6.3-1.el9.x86_64
kmod	kmod-28-10.el9.x86_64
kmod-libs	kmod-libs-28-10.el9.x86_64
kpartx	kpartx-0.8.7-35.el9_6.3.x86_64
krb5-libs	krb5-libs-1.21.1-8.el9_6.1.x86_64
less	less-590-5.el9.x86_64
libacl	libacl-2.3.1-4.el9.x86_64
libaio	libaio-0.3.111-13.el9.x86_64
libarchive	libarchive-3.5.3-7.el9_6.1.x86_64
libassuan	libassuan-2.5.5-3.el9.x86_64
libattr	libattr-2.5.1-3.el9.x86_64
libbasicobjects	libbasicobjects-0.1.1-53.el9.x86_64
libblkid	libblkid-2.37.4-21.el9.x86_64
libbpf	libbpf-1.5.0-1.el9.x86_64
libbrotli	libbrotli-1.0.9-7.el9_6.1.x86_64
libcap	libcap-2.48-9.el9_2.x86_64
libcap-ng	libcap-ng-0.8.2-7.el9.x86_64
libcbor	libcbor-0.7.0-5.el9.x86_64
libcollection	libcollection-0.7.0-53.el9.x86_64
libcom_err	libcom_err-1.46.5-7.el9.x86_64
libcomps	libcomps-0.1.18-1.el9.x86_64
libconfig	libconfig-1.7.2-9.el9.x86_64
libcurl	libcurl-7.76.1-31.el9_6.3.x86_64
libdaemon	libdaemon-0.14-23.el9.x86_64
libdb	libdb-5.3.28-57.el9_6.x86_64
libdhash	libdhash-0.5.0-53.el9.x86_64
libdnf	libdnf-0.69.0-13.el9.x86_64
libdnf-plugin-subscription-manager	libdnf-plugin-subscription-manager-1.29.45.1-1.el9_6.x86_64
libdrm	libdrm-2.4.123-2.el9.x86_64
libeconf	libeconf-0.4.1-4.el9.x86_64
libedit	libedit-3.1-38.20210216cvs.el9.x86_64
libevent	libevent-2.1.12-8.el9_4.x86_64
libev	libev-4.33-6.el9.x86_64
libfdisk	libfdisk-2.37.4-21.el9.x86_64
libffi	libffi-3.4.2-8.el9.x86_64
libfido2	libfido2-1.13.0-2.el9.x86_64
libgcc	libgcc-11.5.0-5.el9_5.x86_64
libgcrypt	libgcrypt-1.10.0-11.el9.x86_64
libgomp	libgomp-11.5.0-5.el9_5.x86_64
libgpg-error	libgpg-error-1.42-5.el9.x86_64
libgudev	libgudev-237-1.el9.x86_64
libgusb	libgusb-0.3.8-2.el9.x86_64
libibverbs	libibverbs-54.0-2.el9_6.x86_64
libicu	libicu-67.1-10.el9_6.x86_64
libidn2	libidn2-2.3.0-7.el9.x86_64
libini_config	libini_config-1.3.1-53.el9.x86_64
libipa_hbac	libipa_hbac-2.9.6-4.el9_6.3.x86_64
libjcat	libjcat-0.1.6-3.el9.x86_64
libjose	libjose-14-1.el9.x86_64
libkcapi-hmaccalc	libkcapi-hmaccalc-1.4.0-2.el9.x86_64
libkcapi	libkcapi-1.4.0-2.el9.x86_64
libksba	libksba-1.5.1-7.el9.x86_64
libldb	libldb-4.21.3-14.el9_6.x86_64
libluksmeta	libluksmeta-9-12.el9.x86_64
libmaxminddb	libmaxminddb-1.5.2-4.el9.x86_64
libmicrohttpd	libmicrohttpd-0.9.72-5.el9.x86_64
libmnl	libmnl-1.0.4-16.el9_4.x86_64
libmodulemd	libmodulemd-2.13.0-2.el9.x86_64
libmount	libmount-2.37.4-21.el9.x86_64
libmspack	libmspack-0.10.1-0.7.alpha.el9.x86_64
libndp	libndp-1.9-1.el9.x86_64
libnetfilter_conntrack	libnetfilter_conntrack-1.0.9-1.el9.x86_64
libnet	libnet-1.2-7.el9.x86_64
libnfnetlink	libnfnetlink-1.0.1-23.el9_5.x86_64
libnfsidmap	libnfsidmap-2.5.4-34.el9_6.3.x86_64
libnftnl	libnftnl-1.2.6-4.el9_4.x86_64
libnghttp2	libnghttp2-1.43.0-6.el9_6.1.x86_64
libnl3-cli	libnl3-cli-3.11.0-1.el9.x86_64
libnl3	libnl3-3.11.0-1.el9.x86_64
libnvme	libnvme-1.11.1-1.el9.x86_64
libpath_utils	libpath_utils-0.2.1-53.el9.x86_64
libpcap	libpcap-1.10.0-4.el9.x86_64
libpciaccess	libpciaccess-0.16-7.el9.x86_64
libpkgconf	libpkgconf-1.7.3-10.el9.x86_64
libpsl	libpsl-0.21.1-5.el9.x86_64
libpwquality	libpwquality-1.4.4-8.el9.x86_64
libref_array	libref_array-0.1.5-53.el9.x86_64
librepo	librepo-1.14.5-2.el9.x86_64
libreport-filesystem	libreport-filesystem-2.15.2-6.el9.noarch
librhsm	librhsm-0.0.3-9.el9.x86_64
libseccomp	libseccomp-2.5.2-2.el9.x86_64
libselinux	libselinux-3.6-3.el9.x86_64
libselinux-utils	libselinux-utils-3.6-3.el9.x86_64
libsemanage	libsemanage-3.6-5.el9_6.x86_64
libsepol	libsepol-3.6-2.el9.x86_64
libsigsegv	libsigsegv-2.13-4.el9.x86_64
libslirp	libslirp-4.4.0-8.el9.x86_64
libsmartcols	libsmartcols-2.37.4-21.el9.x86_64
libsmbclient	libsmbclient-4.21.3-14.el9_6.x86_64
libsolv	libsolv-0.7.24-3.el9.x86_64
libssh-config	libssh-config-0.10.4-15.el9_6.1.noarch
libssh	libssh-0.10.4-15.el9_6.1.x86_64
libss	libss-1.46.5-7.el9.x86_64
libsss_certmap	libsss_certmap-2.9.6-4.el9_6.3.x86_64
libsss_idmap	libsss_idmap-2.9.6-4.el9_6.3.x86_64
