LAST SEEN   TYPE      REASON                    OBJECT                                                     MESSAGE
51m         Normal    Created                   pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Container created
51m         Normal    LeaderElection            lease/cluster-autoscaler-operator-leader                   cluster-autoscaler-operator-5f848644c6-qlr9f_07c5a028-afc8-4a42-89a2-9dc43de60944 became leader
51m         Normal    Started                   pod/cluster-autoscaler-operator-5f848644c6-qlr9f           Container started
51m         Normal    FeatureGatesInitialized   deployment/cluster-autoscaler-operator                     FeatureGates updated to featuregates.Features{Enabled:[]v1.FeatureGateName{"AWSServiceLBNetworkSecurityGroup", "AzureClusterHostedDNSInstall", "AzureWorkloadIdentity", "BootImageSkewEnforcement", "BuildCSIVolumes", "ConsolePluginContentSecurityPolicy", "DualReplica", "EventTTL", "ExternalOIDC", "ExternalOIDCWithUIDAndExtraClaimMappings", "GatewayAPIWithoutOLM", "ImageStreamImportMode", "InsightsConfig", "InsightsOnDemandDataGather", "KMSv1", "ManagedBootImagesCPMS", "MetricsCollectionProfiles", "MutableCSINodeAllocatableCount", "NewOLM", "NewOLMWebhookProviderOpenshiftServiceCA", "RouteExternalCertificate", "ServiceAccountTokenNodeBinding", "SigstoreImageVerification", "SigstoreImageVerificationPKI", "StoragePerformantSecurityPolicy", "UpgradeStatus", "UserNamespacesPodSecurityStandards", "UserNamespacesSupport", "VSphereHostVMGroupZonal", "VSphereMultiDisk", "VSphereMultiNetworks"}, Disabled:[]v1.FeatureGateName{"AWSClusterHostedDNS", "AWSClusterHostedDNSInstall", "AWSDedicatedHosts", "AWSDualStackInstall", "AWSEuropeanSovereignCloudInstall", "AdditionalStorageConfig", "AutomatedEtcdBackup", "AzureDedicatedHosts", "AzureDualStackInstall", "AzureMultiDisk", "BootcNodeManagement", "CBORServingAndStorage", "CRDCompatibilityRequirementOperator", "CRIOCredentialProviderConfig", "ClientsAllowCBOR", "ClientsPreferCBOR", "ClusterAPIComputeInstall", "ClusterAPIControlPlaneInstall", "ClusterAPIInstall", "ClusterAPIInstallIBMCloud", "ClusterAPIMachineManagement", "ClusterAPIMachineManagementAWS", "ClusterAPIMachineManagementAzure", "ClusterAPIMachineManagementBareMetal", "ClusterAPIMachineManagementGCP", "ClusterAPIMachineManagementOpenStack", "ClusterAPIMachineManagementPowerVS", "ClusterAPIMachineManagementVSphere", "ClusterMonitoringConfig", "ClusterUpdateAcceptRisks", "ClusterUpdatePreflight", "ClusterVersionOperatorConfiguration", "ConfidentialCluster", "ConfigurablePKI", "DNSNameResolver", "DRAPartitionableDevices", "DyanmicServiceEndpointIBMCloud", "EVPN", "EtcdBackendQuota", "EventedPLEG", "Example", "Example2", "ExternalOIDCExternalClaimsSourcing", "ExternalOIDCWithUpstreamParity", "ExternalSnapshotMetadata", "GCPCustomAPIEndpoints", "GCPCustomAPIEndpointsInstall", "GCPDualStackInstall", "HyperShiftOnlyDynamicResourceAllocation", "ImageModeStatusReporting", "IngressControllerDynamicConfigurationManager", "IrreconcilableMachineConfig", "KMSEncryption", "KMSEncryptionProvider", "MachineAPIMigration", "MachineAPIMigrationAWS", "MachineAPIMigrationOpenStack", "MachineAPIMigrationVSphere", "MachineAPIOperatorDisableMachineHealthCheckController", "MaxUnavailableStatefulSet", "MinimumKubeletVersion", "MixedCPUsAllocation", "MultiArchInstallAzure", "MultiDiskSetup", "MutatingAdmissionPolicy", "NetworkConnect", "NewOLMBoxCutterRuntime", "NewOLMCatalogdAPIV1Metas", "NewOLMConfigAPI", "NewOLMOwnSingleNamespace", "NewOLMPreflightPermissionChecks", "NoOverlayMode", "NoRegistryClusterInstall", "NutanixMultiSubnets", "OSStreams", "OVNObservability", "OnPremDNSRecords", "OpenShiftPodSecurityAdmission", "ProvisioningRequestAvailable", "SELinuxMount", "ShortCertRotation", "SignatureStores", "TLSAdherence", "VSphereConfigurableMaxAllowedBlockVolumesPerNode", "VSphereMixedNodeEnv", "VSphereMultiVCenterDay2", "VolumeGroupSnapshot"}}
51m         Normal    Pulled                    pod/control-plane-machine-set-operator-5546fc77c4-n7jww    Successfully pulled image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:d9156043bd716eac905a57af02a5e4f4e359e7d8d24871c199c4054f481a537a" in 25.854s (25.854s including waiting). Image size: 412233382 bytes.
51m         Normal    LeaderElection            lease/control-plane-machine-set-leader                     control-plane-machine-set-operator-5546fc77c4-n7jww_65987613-ce83-4a8f-879c-abff83f0a7af became leader
51m         Normal    Started                   pod/control-plane-machine-set-operator-5546fc77c4-n7jww    Container started
51m         Normal    Created                   pod/control-plane-machine-set-operator-5546fc77c4-n7jww    Container created
51m         Normal    Pulled                    pod/machine-api-operator-59d965c9c-d9jzf                   Successfully pulled image "quay.io/openshift-release-dev/ocp-v4.0-art-dev@sha256:2771463ad1c57c8e16e8de52aaa3815ab7f6670dc1f247f3af51b5d8fadc62b7" in 37.78s (37.78s including waiting). Image size: 845349998 bytes.
51m         Normal    Started                   pod/machine-api-operator-59d965c9c-d9jzf                   Container started
